group,replicate,fastq_1,fastq_2,strandedness
etoh60_1,1,data/yeast/reads/etoh60_1_1.fq.gz,data/yeast/reads/etoh60_1_2.fq.gz,reverse
etoh60_2,2,data/yeast/reads/etoh60_2_1.fq.gz,data/yeast/reads/etoh60_2_2.fq.gz,reverse
etoh60_3,3,data/yeast/reads/etoh60_3_1.fq.gz,data/yeast/reads/etoh60_3_2.fq.gz,reverse
ref1,1,data/yeast/reads/ref1_1.fq.gz,data/yeast/reads/ref1_2.fq.gz,reverse
ref2,2,data/yeast/reads/ref2_1.fq.gz,data/yeast/reads/ref2_2.fq.gz,reverse
ref3,3,data/yeast/reads/ref3_1.fq.gz,data/yeast/reads/ref3_2.fq.gz,reverse
temp33_1,1,data/yeast/reads/temp33_1_1.fq.gz,data/yeast/reads/temp33_1_2.fq.gz,reverse
temp33_2,2,data/yeast/reads/temp33_2_1.fq.gz,data/yeast/reads/temp33_2_2.fq.gz,reverse
temp33_3,3,data/yeast/reads/temp33_3_1.fq.gz,data/yeast/reads/temp33_3_2.fq.gz,reverse
